,problem,problem_ancient,problem_modern
533,今有孕妇，行年二十九岁。难九月，未知所生？,今有孕妇，行年二十九岁。难九月，未知所生？,这句话的现代汉语翻译是：现在有一个孕妇，年龄二十九岁，怀孕已经九个月了，还不知道会生什么？
534,今有望海岛，立两表，齐高三丈，前后相去千步，令后表与前表参相直。从前表却行一百二十三步，人目著地取望岛峰，与表末参合。从后表却行一百二十七步，人目著地取望岛峰，亦与表末参合。问岛高及去表各几何？,今有望海岛，立两表，齐高三丈，前后相去千步，令后表与前表参相直。从前表却行一百二十三步，人目著地取望岛峰，与表末参合。从后表却行一百二十七步，人目著地取望岛峰，亦与表末参合。问岛高及去表各几何？,"这段古文的意思是：现在有一座望海的小岛，我们在岛的前后各立一座高三丈的石柱，相距千步，让后面的石柱与前面的石柱在视线上重合。从前面的石柱走123步，可以看到岛的最高峰，与前面的石柱的末端重合。从后面的石柱走127步，也可以看到岛的最高峰，与后面的石柱的末端重合。问这座岛的高度和前后两座石柱之间的距离各是多少？

答案是：岛的高度为$123\times127\div4=3921.75$步，前后两座石柱之间的距离为$\sqrt{3921.75^2-3^2}\approx3921.75$步。"
535,今有望松生山上，不知高下。立两表齐，高二丈，前后相去五十步，令后表与前表参相直。从前表却行七步四尺，薄地遥望松末，与表端参合。又望松本，入表二尺八寸。复从后表却行八步五尺，薄地遥望松末，亦与表端参合。问松高及山去表各几何？,今有望松生山上，不知高下。立两表齐，高二丈，前后相去五十步，令后表与前表参相直。从前表却行七步四尺，薄地遥望松末，与表端参合。又望松本，入表二尺八寸。复从后表却行八步五尺，薄地遥望松末，亦与表端参合。问松高及山去表各几何？,"这段古文的意思是：现在有一棵松树生长在山上，不知道它的高度和山的高低。在山上立了两个平板，高两丈，前后相距五十步，让后面的平板与前面的平板垂直。从前面的平板往后走七步四尺，在地上远远地看松树的顶端，与前面的平板的顶端对齐。再看松树的根部，离前面的平板的底端有两尺八寸的距离。然后从后面的平板往前走八步五尺，在地上远远地看松树的顶端，也与后面的平板的顶端对齐。问松树的高度和山的高度各是多少？

这是一道古代的测量问题，需要用到三角函数的知识。根据题意，可以列出以下方程组：

tanθ1 = h / (50 + 7.25)
tanθ2 = h / (50 - 8.25)
h + d = 2z

其中，θ1和θ2分别是从前面和后面的平板往上看松树的角度，h是松树的高度，d是松树离前面平板的距离，z是山的高度。

解方程组可以得到：

h ≈ 23.6尺
z ≈ 47.2尺

因此，松树的高度约为23.6尺，山的高度约为47.2尺。"
536,今有南望方邑，不知大小。立两表东、西去六丈，齐人目，以索连之。令东表与邑东南隅及东北隅参相直。当东表之北却行五步，遥望邑西北隅，入索东端二丈二尺六寸半。又却北行去表一十三步二尺，遥望邑西北隅，适与西表相参合。问邑方及邑去表各几何？,今有南望方邑，不知大小。立两表东、西去六丈，齐人目，以索连之。令东表与邑东南隅及东北隅参相直。当东表之北却行五步，遥望邑西北隅，入索东端二丈二尺六寸半。又却北行去表一十三步二尺，遥望邑西北隅，适与西表相参合。问邑方及邑去表各几何？,"这段古文的意思是：现在有一个人站在南边望着一个城市，不知道这个城市的大小。他在东边和西边各立一张表，相距六丈，两张表的目标都对准了这个城市，然后用绳子相连。让东边的表和城市的东南角以及东北角对齐。当东边的表向北走五步时，他可以遥望到城市的西北角，然后把绳子拉到东边的表的东端，长度是二丈二尺六寸半。然后他再向北走十三步二尺，可以遥望到城市的西北角，此时他和西边的表相对。问这个城市的面积和距离两张表的距离各是多少？

现代汉语翻译如下：现在有一个人站在南边望着一个城市，不知道这个城市的大小。他在东边和西边各立一张表，相距六丈，两张表的目标都对准了这个城市，然后用绳子相连。让东边的表和城市的东南角以及东北角对齐。当东边的表向北走五步时，他可以遥望到城市的西北角，然后把绳子拉到东边的表的东端，长度是二丈二尺六寸半。然后他再向北走十三步二尺，可以遥望到城市的西北角，此时他和西边的表相对。问这个城市的面积和距离两张表的距离各是多少？"
537,今有望深谷，偃矩岸上，令句高六尺。从句端望谷底，入下股九尺一寸。又设重矩于上，其矩间相去三丈。更从句端望谷底，入上股八尺五寸。问谷深几何？,今有望深谷，偃矩岸上，令句高六尺。从句端望谷底，入下股九尺一寸。又设重矩于上，其矩间相去三丈。更从句端望谷底，入上股八尺五寸。问谷深几何？,"这句话的意思是：现在有一个令箭高六尺的人站在深谷边上，他从深谷边望下去，到谷底的距离是九尺一寸。另外，还有一个重矩子放在他的上方，两个矩子之间相隔三丈。他从重矩子边望下去，到谷底的距离是八尺五寸。问这个谷有多深？

将古汉语翻译成现代汉语：现在有一个人站在深谷边上，他手里拿着一根高六尺的令箭。他从深谷边望下去，到谷底的距离是九尺一寸。另外，还有一个重矩子放在他的上方，两个矩子之间相隔三丈。他从重矩子边望下去，到谷底的距离是八尺五寸。问这个谷有多深？"
538,今有登山望楼，楼在平地。偃矩山上，令句高六尺。从句端斜望楼足，入下股一丈二尺。又设重矩于上，令其间相去三丈。更从句端斜望楼足，入上股一丈一尺四寸。又立小表于入股之会，復从句端斜望楼岑端，入小表八寸。问楼高几何？,今有登山望楼，楼在平地。偃矩山上，令句高六尺。从句端斜望楼足，入下股一丈二尺。又设重矩于上，令其间相去三丈。更从句端斜望楼足，入上股一丈一尺四寸。又立小表于入股之会，復从句端斜望楼岑端，入小表八寸。问楼高几何？,"这段古文的意思是：现在有一个人登山望楼，这座楼建在平地上。他站在偃矩山上，仰望楼顶，发现从他的位置到楼脚的距离是一丈二尺。又在楼顶上放了一个重矩，与楼脚相距三丈。他再次从他的位置斜着望向楼脚，发现距离是一丈一尺四寸。最后他在入股的地方立了一个小表，再次斜着望向楼顶，发现距离是八寸。问这座楼的高度是多少？

现代汉语翻译：有一个人登上偃矩山，望见一座楼，这座楼建在平地上。他仰望楼顶，发现从他的位置到楼脚的距离是一丈二尺。又在楼顶上放了一个重矩，与楼脚相距三丈。他再次从他的位置斜着望向楼脚，发现距离是一丈一尺四寸。最后他在入股的地方立了一个小表，再次斜着望向楼顶，发现距离是八寸。问这座楼的高度是多少？"
539,今有东南望波口，立两表南、北相去九丈，以索薄地连之。当北表之西却行去表六丈，薄地遥望波口南岸，入索北端四丈二寸。以望北岸，入前所望表里一丈二尺。又却后行去表一十三丈五尺。薄地遥望波口南岸，与南表参合。问波口广几何？,今有东南望波口，立两表南、北相去九丈，以索薄地连之。当北表之西却行去表六丈，薄地遥望波口南岸，入索北端四丈二寸。以望北岸，入前所望表里一丈二尺。又却后行去表一十三丈五尺。薄地遥望波口南岸，与南表参合。问波口广几何？,"这段古文的意思是：现在有一个地方，从东南方向望去是一个海湾，我们在那里建立了两个石碑，相距九丈，用细绳相连。从北边的石碑往西走六丈，远远地望着南岸的海滩，到达细绳的北端，距离四丈二寸。往北望去，到达前面的石碑，距离一丈二尺。然后往后走十三丈五尺，远远地望着南岸的海滩，与南边的石碑相接。问这个海湾的宽度是多少？

根据题目中的描述，我们可以画出如下的示意图：

```
北岸
  |
  |
  |  6丈
  |
  |
  |  9丈
  |
  |
  |  9丈
  |
  |
  |  13丈5尺
  |
  |
南岸
```

根据勾股定理，可以得到：

- 北边石碑到细绳北端的距离为 $\sqrt{9^2 - 6^2} = \sqrt{45} = 3\sqrt{5}$ 丈。
- 细绳的长度为 $9$ 丈，所以南边石碑到细绳南端的距离也是 $3\sqrt{5}$ 丈。
- 南边石碑到南岸的距离为 $\sqrt{(9+13)^2 - 9^2} = \sqrt{13^2 + 9^2} = \sqrt{250} = 5\sqrt{10}$ 丈。
- 所以海湾的宽度为 $3\sqrt{5} + 5\sqrt{10} + 1\text{丈}2\text{尺} = 3\sqrt{5} + 5\sqrt{10} + 1.5\text{米}$。

因此，海湾的宽度约为 $22.5 + 35.4 + 1.5 = 59.4$ 米。"
540,今有望清渊，渊下有白石。偃矩岸上，令句高三尺。斜望水岸，入下股四尺五寸。望白石，入下股二尺四寸。又设重矩于上，其间相去四尺。更从句端斜望水岸，入上股四尺。以望白石，入上股二尺二寸。问水深几何？,今有望清渊，渊下有白石。偃矩岸上，令句高三尺。斜望水岸，入下股四尺五寸。望白石，入下股二尺四寸。又设重矩于上，其间相去四尺。更从句端斜望水岸，入上股四尺。以望白石，入上股二尺二寸。问水深几何？,"这段古文的意思是：现在有一个深渊，深渊下面有一块白色的石头。在深渊旁边有一块平台，平台上有一根高三尺的竹竿。斜着望向水岸，竹竿的底部距离水面四尺五寸。再望向白石，竹竿的底部距离水面二尺四寸。又在平台上放置了一根重矩，与竹竿相距四尺。从竹竿的顶端斜着望向水岸，竹竿的底部距离平台上方四尺。再望向白石，竹竿的底部距离平台上方二尺二寸。问这个深渊的水深是多少？

根据题目中的描述，可以列出以下方程组：

$$
\begin{cases}
h_1 + 3 = 4\frac{5}{12} \\
h_2 + 3 = 2\frac{4}{12} \\
h_1 + 4 = 4 \\
h_2 + 4 = 2\frac{2}{12}
\end{cases}
$$

其中 $h_1$ 表示深渊的水深，$h_2$ 表示白石的高度。解得：

$$
\begin{cases}
h_1 = 1\frac{1}{3} \\
h_2 = 1\frac{1}{6}
\end{cases}
$$

因此，这个深渊的水深是 $1\frac{1}{3}$ 尺，即 $1.4167$ 尺。"
541,今有登山望津，津在山南。偃矩山上，令句高一丈二尺。从句端斜望津南岸，入下股二丈三尺一寸。又望津北岸，入前望股里一丈八寸。更登高岩北，却行二十二步，上登五十一步，偃矩山上。更从句端斜望津南岸，入上股二丈二尺。问津广几何？,今有登山望津，津在山南。偃矩山上，令句高一丈二尺。从句端斜望津南岸，入下股二丈三尺一寸。又望津北岸，入前望股里一丈八寸。更登高岩北，却行二十二步，上登五十一步，偃矩山上。更从句端斜望津南岸，入上股二丈二尺。问津广几何？,"这段古文的现代汉语翻译是：现在有人登上偃矩山，往下望津河，津河在山的南面。站在山顶，令句高一丈二尺。从句的端点斜着望向津河南岸，入下股二丈三尺一寸。再望向津河北岸，入前望股里一丈八寸。然后再往北面的高岩上走二十二步，上登五十一步，就到了偃矩山顶。再从句的端点斜着望向津河南岸，入上股二丈二尺。问津河的宽度是多少？

根据文中的描述，我们可以得到以下数据：

- 令句高一丈二尺，即1.8米。
- 从句端斜望津南岸，入下股二丈三尺一寸，即3.5米。
- 望津北岸，入前望股里一丈八寸，即0.54米。
- 再从句端斜望津南岸，入上股二丈二尺，即2.4米。

因为津河在山的南面，所以我们可以推断出，津河的宽度应该是从句的高度加上上下股的长度之和，即：

宽度 = 1.8 + 3.5 + 0.54 + 2.4 = 8.24米。

因此，津河的宽度是8.24米。"
542,今有登山临邑，邑在山南。偃矩山上，令句高三尺五寸。令句端与邑东南隅及东北隅参相直。从句端遥望东北隅，入下股一丈二尺。又施横句于入股之会，从立句端望西北隅，入横句五尺。望东南隅，入下股一丈八尺。又设重矩于上，令矩间相去四丈。更从立句端望东南隅，入上股一丈七尺五寸。问邑广长各几何？,今有登山临邑，邑在山南。偃矩山上，令句高三尺五寸。令句端与邑东南隅及东北隅参相直。从句端遥望东北隅，入下股一丈二尺。又施横句于入股之会，从立句端望西北隅，入横句五尺。望东南隅，入下股一丈八尺。又设重矩于上，令矩间相去四丈。更从立句端望东南隅，入上股一丈七尺五寸。问邑广长各几何？,"这段古文描述的是一座城邑的地理位置和大小。现代汉语翻译如下：现在有一个登山的人站在城邑的南面山上。他用一根高三尺五寸的竿子，使竿子的顶端与城邑的东南角和东北角的顶端对齐。从竿子的顶端向东北角望去，竿子的底端在地面上的距离是一丈二尺。然后在竿子的底端放置一根横杆，从横杆的一端向西北角望去，横杆的底端在地面上的距离是五尺；向东南角望去，横杆的底端在地面上的距离是一丈八尺。又在竿子的顶端放置一根重矩，使两根矩之间的距离是四丈。从竿子的顶端向东南角望去，重矩的底端在地面上的距离是一丈七尺五寸。问这座城邑的宽和长各是多少？

根据题目中的描述，我们可以画出如下的示意图：

![image.png](https://cdn.luogu.com.cn/upload/image_hosting/ed5z5z5v.png)

根据图中的标注，我们可以得到以下方程组：

$$\begin{cases}x+y=4z\\y+\frac{5}{3}=\frac{3}{2}z\\x+\frac{8}{3}=\frac{7}{4}z\end{cases}$$

将第一个式子变形得到 $y=4z-x$，代入第二个式子得到 $x=\frac{7}{6}z-\frac{5}{2}$，代入第三个式子得到 $y=\frac{5}{6}z+\frac{3}{2}$。将 $x$ 和 $y$ 代入第一个式子得到 $z=6$。因此，这座城邑的长是 $4z=24$，宽是 $y+\frac{5}{3}=\frac{23}{3}$。"
543,以九乘二十一五分之三　　问得几何,以九乘二十一，五分之三，问得几何？,这句话的现代汉语翻译是：“九乘二十一的五分之三是多少？”
544,以二十一七分之三乘三十七九分之五 问得几何,以二十一七分之三乘三十七九分之五，问得几何？,“以二十一七分之三乘三十七九分之五”可以翻译成“21/7 × 379/95”，即“三整又十六分之一”。而“问得几何”可以翻译成“答案是多少”。因此，整句话的现代汉语翻译为：“三整又十六分之一，答案是多少？”
545,以三十七三分之二乘四十九五分之三七分之四问得几何,以三十七三分之二乘四十九五分之三七分之四问得几何？,这句话的意思是：用三十七分之三乘以四十九分之五的结果再除以七，问得到的数是多少？
546,以十二除二百五十六九分之八 问得几何,以十二除二百五十六九分之八，问得几何？,这句话的现代汉语翻译是：用12除以256的9/8，问得到多少。
547,以二十七五分之三除一千七百六十八七分之四问得几何,以二十七五分之三除一千七百六十八七分之四，问得几何？,这句话的现代汉语翻译是：“用27.5%除以1768.7%得到的结果是多少？”
548,以五十八二分之一除六千五百八十七三分之二四分之三　问得几何,以五十八二分之一除六千五百八十七三分之二四分之三，问得几何？,"这句话的现代汉语翻译是：58 2/1 ÷ 6,587 3/4 ÷ 4/3 等于多少？"
549,今有官猎得鹿赐围兵初围三人中赐鹿五头次围五人中赐鹿七头次围七人中赐鹿九头并三围赐鹿一十五万二千三百三十三头少半头　问围兵几何,今有官猎，得鹿赐围兵。初围三人中，赐鹿五头；次围五人中，赐鹿七头；次围七人中，赐鹿九头。并三围，赐鹿一十五万二千三百三十三头少半头。问围兵几何？,"这段古文的意思是：有一个官员打猎得到了一只鹿，赐给了围兵。开始时围了三个人，赐了五头鹿；第二次围了五个人，赐了七头鹿；第三次围了七个人，赐了九头鹿。三次围猎后，一共赐了十五万二千三百三十三头鹿，少了半头。问围兵有多少人？

现代汉语翻译：一个官员打猎得到了一只鹿，赐给了围兵。开始时围了三个人，赐了五头鹿；第二次围了五个人，赐了七头鹿；第三次围了七个人，赐了九头鹿。三次围猎后，一共赐了152333头鹿，少了半头。问围兵有多少人？"
550,今有猎围周四百五十二里一百八十步布围兵十步一人今欲缩令通身得地四尺　问围内缩几何,今有猎围，周四百五十二里，一百八十步。布围兵十步一人，今欲缩令通身得地四尺。问围内缩几何？,"这句话的现代汉语翻译是：现在有一个猎围，周长是452里180步，围内有布置兵力，每十步就有一个士兵。现在想要缩小这个围栏，让一个人能够站在里面的任何地方都能够接触到围栏，问缩小后围栏的周长是多少？ 

答案是：缩小后的围栏周长为352里8步。"
551,今有围兵二万三千四百人以布围周各相去五步今围内缩除一十九里一百五十步而止　问兵相去几何,今有围兵二万三千四百人，以布围周，各相去五步。今围内缩除一十九里一百五十步而止，问兵相去几何？,"这句话的现代汉语翻译是：现在有23,400名士兵，用布围绕周围，相互之间相距五步。现在缩小围栏，缩小了19里150步。请问，士兵之间的距离是多少？

答案是：每个士兵之间的距离是5步。"
552,今有封山周栈三百二十五里甲乙丙三人同绕周栈行甲日行一百五十里乙日行一百二十里丙日行九十里　问周行几何日几,今有封山，周栈三百二十五里。甲、乙、丙三人同绕周栈行。甲日行一百五十里，乙日行一百二十里，丙日行九十里。问周行几何日几？,这句话的现代汉语翻译是：现在有一座名叫“封山周栈”的山，周围有325里。甲、乙、丙三个人一起绕着周栈行走。甲一天行走150里，乙一天行走120里，丙一天行走90里。问他们绕周栈要行走多少天？
553,今有内营周七百二十步中营周九百六十步外营周一千二百步甲乙丙三人值夜甲行内营乙行中营丙行外营俱发南门甲行九乙行七丙行五　问各行几何周俱到南门,今有内营周七百二十步，中营周九百六十步，外营周一千二百步。甲、乙、丙三人值夜，甲行内营，乙行中营，丙行外营，俱发南门。甲行九，乙行七，丙行五。问各行几何周，俱到南门？,"这段古文的现代汉语翻译是：现在有一个内营，周长为720步；一个中营，周长为960步；一个外营，周长为1200步。有甲、乙、丙三个人值夜，甲走内营，乙走中营，丙走外营，他们同时从南门出发，甲走了9圈，乙走了7圈，丙走了5圈。问他们各自走了多少步才到达南门？

解题思路：根据题目中给出的周长和圈数，可以算出每个人走的步数，最后再乘以圈数即可。

甲走了9圈，内营周长为720步，所以甲走了9*720=6480步。
乙走了7圈，中营周长为960步，所以乙走了7*960=6720步。
丙走了5圈，外营周长为1200步，所以丙走了5*1200=6000步。

因此，甲走了6480步，乙走了6720步，丙走了6000步才到达南门。"
554,今有津不知其广东岸高一丈坐岸东去岸五十步遥望岸上及津西畔适与人目几合人目去地二尺四寸问津广几何,今有津，不知其广。东岸高一丈，坐岸东去岸五十步。遥望岸上及津西畔，适与人目几合。人目去地二尺四寸。问津广几何？,这句话的现代汉语翻译是：现在有一条渡口，不知道它的宽度，东岸高一丈，坐在东岸往西岸看去，距离约为五十步，可以看到西岸和渡口西侧，大约离地面有两尺四寸，请问这条渡口有多宽？
555,今有葮生于池中出水三尺去岸一丈引葮趋岸不及一尺　问葮长及水深各几何,今有葮，生于池中，出水三尺，去岸一丈。引葮趋岸，不及一尺。问葮长及水深，各几何？,"这句话的现代汉语翻译是：现在有一株葫芦生长在池塘中，从水面上升起三尺，离岸边一丈远。引着葫芦往岸边走，但是还差一尺就到不了岸边。请问这株葫芦的长度和水深各是多少？

其中，“葮”是指葫芦，“去”是指离，“趋”是指走向。"
556,今有木不知远近高下立一表高七尺人去表九步立望表头适与木端邪平人目去地七尺二寸又去表三十步薄地遥望表头亦与木端邪平　问木去表及高几何,今有木，不知远近高。下立一表，高七尺。人去表九步，立望表头，适与木端邪平。人目去地七尺二寸，又去表三十步，薄地遥望表头，亦与木端邪平。问木去表及高几何？,"这句话的现代汉语翻译是：“现在有一根木头，不知道离这里远近、高低，立起一张七尺高的表，人离表九步远，仰望表头，此时人的目光与木头的顶端齐平。人再往后退三十步，仍能望见表头，此时人的目光与木头的顶端仍然齐平。问这根木头离表多远，高多少？” 

答案是：木离表的距离为$21$尺，高为$28$尺。"
557,今有城不知大小去人远近于城西北隅而立四表相去各六丈令左两表与城西北隅南北望参相直从右后表望城西北隅入右前表一尺二寸又望西南隅亦入右前表四寸又望东北隅亦入左后表二丈四尺问城去左后表及大小各几何,今有城，不知大小去人远近。于城西北隅而立四表，相去各六丈。令左两表与城西北隅南北望参相直，从右后表望城西北隅入，右前表一尺二寸。又望西南隅，亦入右前表四寸。又望东北隅，亦入左后表二丈四尺。问城去左后表及大小各几何？,"这段古汉语的意思是：现在有一个城池，不知道它的大小，也不知道离这里有多远。我现在站在城的西北角，四周有四个标志，相互之间相距六丈。让左边的两个标志和城的西北角南北方向上对齐，从右边的后面的标志望向城的西北角，再从右边的前面的标志望向城的西北角，这两个方向的距离分别是一尺二寸和四寸。再从左边的后面的标志望向城的东北角，这个方向的距离是两丈四尺。问这个城离左边的后面的标志有多远，以及这个城的大小是多少。

现代汉语翻译：现在有一个城池，大小和距离不知道。我现在站在城的西北角，四周有四个标志，相互之间相距六丈。让左边的两个标志和城的西北角南北方向上对齐，从右边的后面的标志望向城的西北角，再从右边的前面的标志望向城的西北角，这两个方向的距离分别是一尺二寸和四寸。再从左边的后面的标志望向城的东北角，这个方向的距离是两丈四尺。问这个城离左边的后面的标志有多远，以及这个城的大小是多少。"
558,今有甲日行疾于乙日行二十五里而甲发洛阳七日至邺乙发邺九日至洛阳　问邺洛阳相去几何,今有甲日行疾于乙，日行二十五里。而甲发洛阳，七日至邺；乙发邺，九日至洛阳。问：邺、洛阳相去几何？,"这句话的现代汉语翻译是：现在有一个人在甲日行驶，速度很快，而另一个人在乙日行驶，速度为每天25里。甲从洛阳出发，七天后到达邺，而乙从邺出发，九天后到达洛阳。问邺和洛阳之间的距离是多少？

答案是：邺和洛阳之间的距离是$7\times25+9\times25=400$里。"
559,今有官出库金五十九斤一两赐王九人公十二人侯十五人子十八人男二十一人王得金各多公五两公得金各多侯四两侯得金各多子三两子得金各多男二两　问王公侯子男各得金几何,今有官出库金五十九斤一两，赐王九人，公十二人，侯十五人，子十八人，男二十一人。王得金各多公五两；公得金各多侯四两；侯得金各多子三两；子得金各多男二两。问：王、公、侯、子、男各得金几何？,这句话的现代汉语翻译是：现在有一位官员出库了59斤1两黄金，赐给了9位王、12位公、15位侯、18位子和21位男。王得到了很多黄金，每人5两；公得到了很多黄金，每人4两；侯得到了很多黄金，每人3两；子得到了很多黄金，每人2两；男得到了很多黄金，每人1两。请问，王、公、侯、子、男各得到了多少黄金？
560,今有十等人大官甲等十人官赐金依等次差降之上三人先入得金四斤持出下四人后入得金三斤持出中央三人未到者亦依等次更给　问各得金几何及未到三人复应得金几何,今有十等人，大官甲等十人，官赐金依等次差降之。上三人先入，得金四斤，持出。下四人后入，得金三斤，持出。中央三人未到者，亦依等次更给。问各得金几何？及未到三人，复应得金几何？,"现代汉语翻译如下：现在有十个官员，分为十个等级，甲等官员有十个人。官方赐予金子，按照等级差别分配。前三个人得到了四斤金子，后四个人得到了三斤金子，中间三个人还没有到达，他们也将按照等级差别得到金子。请问每个人得到了多少金子？还有未到的三个人将得到多少金子？

答案如下：前三个人每人得到了4/3=1.33斤金子，后四个人每人得到了3/4=0.75斤金子。因为还有三个人未到，所以他们将按照等级差别得到金子，每人得到0.75斤金子。"
561,今有圆材径头二尺一寸欲以为方问各几何,今有圆材，径头二尺一寸，欲以为方。问各几何？,这句话的现代汉语翻译是：现在有一根直径为两尺一寸的圆木，想要将其做成方形，问各自需要多少材料。
562,今有泥方一尺欲为弹丸令径一寸　问得几何,今有泥方一尺，欲为弹丸，令径一寸。问得几何？,这句话的现代汉语翻译是：“现在有一块泥，长一尺，想要制作成弹丸，让它的直径为一寸。问这个弹丸的体积是多少？”
563,今有客不知其数两人共盘少两盘三人共盘长三盘问客及盘几何,今有客，不知其数。两人共盘少两盘，三人共盘长三盘。问客及盘几何？,这句话的现代汉语翻译是：“现在有一个客人不知道有几个盘子，两个人一共摆了几个盘子，少了两个盘子，三个人一共摆了几个盘子，多了三个盘子。请问客人，一共有多少个盘子？”
564,今有女善织日益功疾初日织五尺今一月日织九匹三丈　问日益几何,今有女，善织。日益功疾，初日织五尺，今一月日织九匹三丈。问：日益几何？,这句话的现代汉语翻译是：现在有一个女子，擅长织布，每天进步很快。她刚开始织布时，一天只能织五尺，但现在一个月能织九匹布，每匹布长三丈。请问她的进步速度是多少？
565,今有女子不善织日减功迟初日织五尺末日织一尺今三十日织讫　问织几何,今有女子，不善织。日减功迟，初日织五尺，末日织一尺。今三十日织讫，问织几何？,这句话的现代汉语翻译是：现在有一个女子不擅长织布，每天的产量都很低。第一天只能织五尺，最后一天只能织一尺。现在已经过了三十天，问她一共织了多少尺布？
566,今有绢一匹买紫草三十斤染绢二丈五尺，今有绢七匹欲减买紫草还自染余绢　问减绢买紫草各几何,今有绢一匹，买紫草三十斤，染绢二丈五尺。今有绢七匹，欲减买紫草，还自染余绢。问减绢买紫草各几何？,这句话的现代汉语翻译是：现在有一匹绸子，要买三十斤紫草来染这匹绸子，染好后绸子的长度是二丈五尺。现在有七匹绸子，想要减少购买紫草的数量，自己染剩下的绸子。问要减少多少绸子的购买量，以及需要购买多少紫草。
567,今有生丝一斤练之折五两练丝一斤染之出三两，今有生丝五十六斤八两七分两之四　问染得几何,今有生丝一斤，练之折五两，练丝一斤，染之出三两。今有生丝五十六斤八两七分两之四。问染得几何？,"这句话的意思是：现在有一斤生丝，练成后折断了五两，剩下的练丝再染色，染色后重量减少了三两。现在有56斤8两7分2厘的生丝，染色后重量是多少？

用现代汉语表达就是：现在有一斤生丝，练成后折断了五两，剩下的练丝再染色，染色后重量减少了三两。现在有56.8754斤的生丝，染色后重量是多少？

答案是：染色后重量为53.8754斤。"
568,今有铁十斤一经入炉得七斤，今有铁三经入炉得七十九斤一十一两　问未入炉本铁几何,今有铁十斤，一经入炉，得七斤；今有铁，三经入炉，得七十九斤一十一两。问未入炉本铁几何？,"这句话的意思是：现在有一块铁，重十斤，放入炉中烧烤后，只剩下七斤了。现在又有一块铁，重三十斤，放入炉中烧烤后，只剩下七十九斤一十一两了。问原来这两块铁一共有多重？

我们可以用代数的方法来解决这个问题。设原来这两块铁一共有x斤，那么根据题意，我们可以列出以下两个方程：

10/x = 7/10  （第一块铁烧后只剩下7斤）
30/x = 79.5/11  （第二块铁烧后只剩下79斤11两）

通过解这两个方程，我们可以得到x=150，即原来这两块铁一共有150斤。"
569,今有丝一斤八两直绢一匹今持丝一斤禆钱五十得绢三丈，今有钱一千　问得绢几何,今有丝一斤八两，直绢一匹。今持丝一斤，禆钱五十，得绢三丈。今有钱一千，问得绢几何？,"这句话的意思是：现在有一斤八两的丝绸一匹，用一斤丝换五十文钱，问一千文钱可以换多少匹绢？

现代汉语翻译为：现在有一匹重量为一斤八两的丝绸，用一斤丝换取五十文钱，问一千文钱可以换取多少匹绢？"
570,今有甲贷乙绢三匹约限至不还匹日息三尺今过限七日取绢二匹偿钱三百　问一匹直钱几何,今有甲贷乙绢三匹，约限至不还，匹日息三尺。今过限七日，取绢二匹偿钱三百。问一匹直钱几何？,"这句话的现代汉语翻译是：现在有甲借给乙三匹绢，约定限期到某日不还，每日利息三尺。现在已经过了限期七天，乙取出两匹绢来偿还甲三百元。问一匹绢的直接还款金额是多少？

答案是：一匹绢的直接还款金额是一百元。"
571,今有金方七银方九秤之适相当交易其一金轻七两问金银各重几何,今有金方七，银方九，秤之适相当。交易其一，金轻七两。问金银各重几何？,现代汉语翻译为：现在有一块金子和一块银子，它们的重量分别是7两和9两。它们可以互相交换，问金子和银子各自的重量是多少？
572,今有器容九斗中有米不知其数满中粟舂之得米五斗八升　问满粟几何,今有器，容九斗。中有米，不知其数。满中粟，舂之得米五斗八升。问满粟几何？,"这句话的现代汉语翻译是：现在有一个容量为九斗的器皿，里面有一些米，但不知道有多少。然后把粟放进去碾，得到了五斗八升的米。问器皿里满粟几何？

答案是：器皿里满粟四斗二升。"
573,今有七百人造浮桥九日成今增五百人　问日几何,今有七百人，造浮桥九日成。今增五百人，问日几何？,这句话的现代汉语翻译是：“现在有七百人造了浮桥，九天后完成，现在增加了五百人。问还需要几天完成？”
574,今有与人钱初一人与三钱次一人与四钱次一人与五钱以次与之转多一钱与讫还敛聚与均分之人得一百钱　问人几何,今有与人钱，初一人与三钱，次一人与四钱，次一人与五钱，以次与之，转多一钱，与讫还，敛聚与均分之人，得一百钱。问人几何？,这句话的现代汉语翻译是：现在有一群人，第一个人拥有1钱，第二个人拥有3钱，第三个人拥有4钱，第四个人拥有5钱，以此类推，每个人都比前一个人多1钱。他们把钱汇集起来，平均分配后，每个人得到100钱。问这群人有多少人？
575,今有戸出银一斤八两一十二铢今以家有贫富不等令戸别作差品通融出之最下戸出银八两以次戸差各多三两　问戸几何,今有户出银一斤八两一十二铢，今以家有贫富不等，令户别作差品通融出之。最下户出银八两，以次户差各多三两。问户几何？,这句话的现代汉语翻译是：现在有一个家庭拿出一斤八两十二铢的银子，现在家庭的贫富不同，让家庭分别出不同的数量的银子，最穷的家庭出八两银子，其他家庭依次多出三两银子，问有多少家庭？
576,今有人盗马乘去已行三十七里马主乃觉追之一百四十五里不及二十三里而还今不还追之　问几何里及之,今有人盗马乘去，已行三十七里。马主乃觉，追之一百四十五里，不及二十三里而还。今不还，追之。问，几何里及之？,这句话的现代汉语翻译是：今天有人偷了马，骑着它已经走了三十七里路。马主人才发现，追了一百四十五里路，但还是没追上，只追了不到二十三里路就回来了。现在问要追多少里才能追上那个人。
